State,Year,NumHomicides,NumGuns,NumDrugUsers,NumAlcoholAbusers,NumViolentCrime,NumLawEnforcementEmployees,Population,MedianAge,RealGDPperCapita
MAINE,2012,33,10871,30000,73000,1631,2826,1327691,43.5,37727
MARYLAND,2012,403,82187,134000,297000,28055,17956,5887072,38.2,53999
MASSACHUSETTS,2012,122,26151,141000,445000,26953,19282,6663158,39.2,62441
MICHIGAN,2012,731,36080,233000,582000,44922,23165,9896930,39.3,40465
MINNESOTA,2012,116,48340,105000,329000,12419,13476,5376550,37.6,51297
MISSISSIPPI,2012,179,15724,64000,126000,7786,5662,2983767,36.3,31807
MISSOURI,2012,423,43589,131000,307000,27155,19487,6024081,38.1,41941
MONTANA,2012,23,8293,22000,69000,2736,2405,1003754,39.9,38601
NEBRASKA,2012,56,11770,36000,108000,4814,4943,1853323,36.2,50655
NEVADA,2012,136,48359,60000,197000,16763,9447,2744566,37,43384
NEW HAMPSHIRE,2012,15,18376,31000,77000,2481,3436,1323962,41.9,48661
NEW JERSEY,2012,405,48989,182000,498000,25727,37881,8845483,39.4,55106
NEW MEXICO,2012,112,69371,53000,124000,11660,6023,2087549,36.7,40098
NEW YORK,2012,682,55105,447000,1081000,79610,79358,19574549,38.1,62769
NORTH CAROLINA,2012,503,95060,232000,388000,34464,33353,9749123,37.9,42619
NORTH DAKOTA,2012,14,5581,15000,50000,1712,1968,701116,35.9,68174
OHIO,2012,475,108574,274000,659000,34595,19288,11548369,39.2,44911
OKLAHOMA,2012,239,37307,80000,252000,17902,12445,3818600,36.2,41880
OREGON,2012,97,38917,98000,247000,9653,9918,3899118,38.7,49461
PENNSYLVANIA,2012,766,197217,294000,707000,44503,30203,12766827,40.5,47554
RHODE ISLAND,2012,37,3592,27000,80000,2651,3045,1054601,39.7,46194
SOUTH CAROLINA,2012,349,45530,111000,235000,26397,15135,4717112,38.4,35359
SOUTH DAKOTA,2012,16,7652,16000,58000,2682,2820,833496,36.8,47070
TENNESSEE,2012,440,65524,150000,309000,41550,26268,6451281,38.3,41114
TEXAS,2012,1267,258204,492000,1345000,106476,72877,26089620,33.9,50253
UTAH,2012,57,29383,64000,105000,5876,7042,2853467,29.9,41952
VERMONT,2012,10,3803,17000,36000,893,1677,626063,42.1,43099
VIRGINIA,2012,334,223303,158000,403000,15564,23625,8185229,37.6,51568
WASHINGTON,2012,215,50550,154000,440000,20386,14212,6892876,37.5,53473
WEST VIRGINIA,2012,72,14742,46000,91000,5869,4475,1856764,41.6,35532
WISCONSIN,2012,181,39389,108000,341000,16064,18638,5719855,38.8,45422
WYOMING,2012,17,106513,11000,36000,1161,2074,576270,36.9,60794
ALABAMA,2010,191,2050,94000,212000,18056,16205,4779736,39.2,35912
ALASKA,2010,43,988,15000,44000,4537,1944,710231,34,69565
ARIZONA,2010,400,2641,165000,436000,26085,22130,6392017,37.2,37943
ARKANSAS,2010,141,1744,61000,127000,14735,9964,2915918,38.7,34674
CALIFORNIA,2010,1948,7177,926000,2275000,164133,118884,37253956,36.4,51878
COLORADO,2010,145,2295,124000,356000,16133,17071,5029196,37.1,49260
CONNECTICUT,2010,134,1561,80000,218000,10057,10476,3574097,41.4,64901
DELAWARE,2010,52,301,21000,46000,5575,3170,897934,40.2,62844
DISTRICT OF COLUMBIA,2010,134,25,18000,57000,8004,4477,601723,34,168070
FLORIDA,2010,1130,5995,411000,936000,101969,72390,18801310,42.2,38610
GEORGIA,2010,565,3234,189000,446000,39072,32780,9687653,36.6,42032
HAWAII,2010,27,256,23000,85000,3574,3725,1360301,39.9,49422
IDAHO,2010,22,1265,33000,94000,3465,4341,1567582,35.5,34622
ILLINOIS,2010,484,4103,274000,734000,55835,49849,12830632,38,50306
INDIANA,2010,291,2541,130000,370000,20389,15577,6483802,38.2,43000
IOWA,2010,39,1844,56000,196000,8333,8085,3046355,39.5,45891
KANSAS,2010,107,1699,59000,166000,10531,10565,2853118,37.4,44250
KENTUCKY,2010,189,2179,91000,172000,10528,10104,4339367,39.3,37585
LOUISIANA,2010,493,1858,88000,233000,24886,18493,4533372,37.2,48601
MAINE,2010,27,856,25000,61000,1621,2839,1328361,43.9,38357
MARYLAND,2010,445,2261,125000,246000,31620,20467,5773552,39.3,53679
MASSACHUSETTS,2010,219,3165,155000,471000,30553,19574,6547629,40.3,60814
MICHIGAN,2010,606,4059,208000,593000,48460,24426,9883640,40.1,38766
MINNESOTA,2010,105,2606,109000,339000,12515,13509,5303925,38.5,50153
MISSISSIPPI,2010,174,1340,66000,133000,8003,10325,2967297,37.5,31687
MISSOURI,2010,450,5500,139000,276000,27252,20375,5988927,39.2,42207
MONTANA,2010,23,1414,23000,70000,2693,2941,989415,41,37738
NEBRASKA,2010,58,1061,34000,94000,5104,4835,1826341,37.5,49571
NEVADA,2010,175,1160,58000,197000,17841,9873,2700551,37,44597
NEW HAMPSHIRE,2010,13,969,33000,76000,2198,3441,1316470,42.1,48395
NEW JERSEY,2010,392,491,191000,476000,27055,39996,8791894,40.4,55023
NEW MEXICO,2010,142,1005,52000,117000,12126,6030,2059179,38,40300
NEW YORK,2010,863,3729,439000,1091000,75977,83394,19378102,39.5,61259
NORTH CAROLINA,2010,468,3757,210000,431000,34653,32755,9535483,38.7,43071
NORTH DAKOTA,2010,9,601,11000,49000,1513,1840,672591,38.6,52186
OHIO,2010,481,4218,267000,696000,36366,27987,11536504,40.1,42673
OKLAHOMA,2010,209,2104,76000,218000,17987,11667,3751351,37.6,38304
OREGON,2010,93,2317,99000,252000,9655,10195,3831074,39.5,49614
PENNSYLVANIA,2010,699,5446,285000,755000,46514,29488,12702379,41.6,46391
RHODE ISLAND,2010,30,432,26000,82000,2701,3164,1052567,40.9,46339
SOUTH CAROLINA,2010,278,1758,100000,249000,27648,14030,4625364,39.3,35126
SOUTH DAKOTA,2010,17,678,15000,59000,2186,2411,814180,38.2,45610
TENNESSEE,2010,397,2952,153000,323000,38921,25671,6346105,39.3,39375
TEXAS,2010,1363,8383,512000,1328000,113231,89897,25145561,34.7,47422
UTAH,2010,58,1032,61000,100000,5879,6987,2763885,29.8,41501
VERMONT,2010,7,526,18000,39000,815,1516,625741,42.7,42180
VIRGINIA,2010,387,3629,166000,454000,17087,23390,8001024,38.7,51949
WASHINGTON,2010,175,2340,153000,403000,21101,14555,6724540,38.3,52694
WEST VIRGINIA,2010,57,1347,41000,83000,5830,4415,1852994,42.7,35367
WISCONSIN,2010,170,2757,114000,324000,14142,19423,5686986,39.6,44125
WYOMING,2010,8,764,10000,33000,1104,1962,563626,37.7,64618
